# This file was generated with ParaNMR v1.14.0 at 12:33:14 21-07-2026 
# Hyperfines from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/HFC/DyL1.xyz
Diamagnetic shifts from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/DIA/YL1_DIA_NMR.out
Diamagnetic reference from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/DIA/tms_ref.out
T = 302.15 K
atom_label (),signal_label (),x (Å),y (Å),z (Å),A_fc_iso (ppm Å^-3),A_sd_xx (ppm Å^-3),A_sd_xy (ppm Å^-3),A_sd_xz (ppm Å^-3),A_sd_yy (ppm Å^-3),A_sd_yz (ppm Å^-3),A_sd_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_pc (ppm),δ_fc (ppm)
C18,,0.969960,5.177460,-0.265821,,,,,,,,,,,
C19,,2.850395,-3.622260,-1.009710,,,,,,,,,,,
C20,,-4.564452,-0.626242,-0.988737,,,,,,,,,,,
C21,,1.717669,4.260169,-1.001965,,,,,,,,,,,
C22,,1.811887,-2.712726,-0.840680,,,,,,,,,,,
C23,,-3.252412,-0.193021,-0.829114,,,,,,,,,,,
C24,,1.446994,2.906539,-0.831210,,,,,,,,,,,
C25,,0.522848,-2.779727,-1.642952,,,,,,,,,,,
C26,,-2.662272,0.956730,-1.629424,,,,,,,,,,,
C27,,2.164454,1.821142,-1.618161,,,,,,,,,,,
H1,H1,2.315280,-1.587822,3.415912,0.000000,-155.369347,-545.917804,1160.899893,-579.964103,-794.138841,735.333450,-35.100600,2.828000,-37.928600,0.000000
H2,H2,-2.527794,-1.216233,3.419855,0.000000,4.338630,453.209992,-1261.806879,-731.045277,-601.139863,726.706647,-34.674628,2.809000,-37.483628,0.000000
H3,H3,0.214285,2.800210,3.404525,0.000000,-944.443336,86.867743,103.497742,225.469168,1401.524018,718.974168,-34.283786,2.801000,-37.084786,0.000000
H4,H4,1.063935,-0.556580,4.079350,0.000000,-873.119122,-106.550571,782.079657,-1023.470283,-405.352976,1896.589405,-94.412342,3.414000,-97.826342,0.000000
H5,H5,-1.010280,-0.642445,4.080704,0.000000,-886.448069,118.096484,-749.634928,-1002.404349,-467.076840,1888.852417,-94.011267,3.416000,-97.427267,0.000000
H6,H6,-0.055828,1.205465,4.078062,0.000000,-1073.379699,-13.902947,-46.033761,-804.808138,891.638371,1878.187838,-93.478186,3.399000,-96.877186,0.000000
H7,H7,0.077557,-2.691814,3.604836,0.000000,-903.558927,-26.009387,34.383157,82.831845,-1304.867053,820.727081,-39.927215,2.406000,-42.333215,0.000000
H8,H8,-2.371831,1.275332,3.604759,0.000000,-131.418961,-413.416610,-1141.983668,-674.118004,616.448170,805.536965,-39.156707,2.393000,-41.549707,0.000000
H9,H9,2.284755,1.410156,3.606479,0.000000,-193.004755,442.609995,1106.983398,-627.902387,689.514851,820.907142,-39.936503,2.406000,-42.342503,0.000000
H10,H10,0.769145,-2.762295,1.972916,0.000000,-1667.412209,-1040.879669,723.895975,1804.389660,-2614.917139,-136.977451,9.750316,2.685000,7.065316,0.000000
H11,H11,-2.778561,0.706362,1.973668,0.000000,1831.107078,-965.212393,-2586.004178,-1680.977027,663.864594,-150.130051,10.374729,2.631000,7.743729,0.000000
H12,H12,2.007054,2.044642,1.973765,0.000000,18.745852,2012.379958,1877.667694,124.289561,1927.552411,-143.035413,10.033786,2.656000,7.377786,0.000000
H13,H13,3.789806,-0.294535,2.336465,0.000000,1094.617983,-152.086995,1212.366503,-906.685388,-91.606533,-187.932595,13.541589,3.848000,9.693589,0.000000
H14,H14,3.253224,0.612921,0.896256,0.000000,3449.782961,1044.845769,1409.184330,-1806.818548,269.831330,-1642.964413,89.307330,4.563000,84.744330,0.000000
H15,H15,-2.149835,-3.135409,2.329992,0.000000,-264.046949,947.749509,-688.707422,456.252117,-998.469479,-192.205168,13.757969,3.844000,9.913969,0.000000
H16,H16,-1.094164,-3.119474,0.891154,0.000000,-1384.775099,1790.495859,-479.613005,3040.294097,-1355.078664,-1655.518997,89.966897,4.575000,85.391897,0.000000
H17,H17,-1.652810,3.423591,2.325010,0.000000,-528.868228,-792.011822,-523.147598,726.083505,1081.899066,-197.215277,14.009391,3.837000,10.172391,0.000000
H18,H18,-2.169392,2.495622,0.892255,0.000000,425.267208,-2776.439304,-925.037043,1207.529763,1064.485724,-1632.796972,88.753892,4.534000,84.219892,0.000000
H19,H19,4.998880,-2.172676,1.199166,0.000000,657.230089,-485.676599,256.145933,-252.627847,-111.036133,-404.602242,28.448439,7.579000,20.869439,0.000000
H20,H20,4.845914,-4.134774,-0.355802,0.000000,224.382493,-453.492505,-45.467523,79.203143,38.768420,-303.585635,23.934989,8.276000,15.658989,0.000000
H21,H21,2.738780,-4.443619,-1.716171,0.000000,-124.437394,-573.329624,-229.342631,453.116853,372.308129,-328.679459,25.541332,8.588000,16.953332,0.000000
H22,H22,-4.385361,-3.224578,1.204937,0.000000,402.096263,632.807083,-225.712356,1.142317,-165.261499,-403.238580,28.378101,7.579000,20.799101,0.000000
H23,H23,-6.011081,-2.092533,-0.334059,0.000000,511.198915,283.092431,53.245756,-208.320010,18.437467,-302.878905,23.898535,8.276000,15.622535,0.000000
H24,H24,-5.222768,-0.110891,-1.686717,0.000000,806.336385,25.033585,427.351044,-474.205587,8.351185,-332.130798,25.708352,8.577000,17.131352,0.000000
H25,H25,-0.633023,5.405610,1.179275,0.000000,-443.163233,-154.807030,-32.063122,848.431273,271.300118,-405.268040,28.482781,7.579000,20.903781,0.000000
H26,H26,1.155636,6.247781,-0.365238,0.000000,-277.212719,162.942442,-11.019655,580.285239,-60.015204,-303.072520,23.905522,8.273000,15.632522,0.000000
H27,H27,2.493193,4.572044,-1.700048,0.000000,-185.068416,540.009184,-207.236943,516.719252,-381.806138,-331.650836,25.686596,8.580000,17.106596,0.000000
